id;kurztitel;kategorie;unterkategorie;datum_beginn;datum_ende;terminliste;landname;ort;va_name;va_adresse;va_telefon;va_fax;va_email;va_internet;teilnehmerkreis;externer_link;lfdnr
100120399;"Frauen und Führung  - Motivation und Konflikte (Teil II)";"Rhetorik und Kommunikation";"Rhetorik, berufl.";2023-09-25;2025-09-25;"25.09.2023 - 29.09.2023 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 25.09.2025 möglich";Deutschland;"Prinzhöfte und ggf. andere Orte";"VNB e.V. (Verein Niedersächsischer Bildungsinitiativen)
Landeseinrichtung der Erwachsenenbildung";"Bahnhofstr. 16
49406 Barnstorf";05442/80450;;mailto:anette.bredehorst@vnb.de;www.tagungshaus-mikado.de;"Für Berliner Arbeitnehmer/innen, die o.g. Kenntnisse für die berufliche Tätigkeit benötigen";;11
100120532;"Müritz Nationalpark - Chance für eine wertvolle Naturlandschaft?";"Politische Bildung";"Ökologie und Umweltpolitik";2025-04-07;2025-09-25;"25.09.2023 - 29.09.2023 (Dieser Termin ist bereits vorbei)
22.04.2024 - 26.04.2024 (Dieser Termin ist bereits vorbei)
09.09.2024 - 13.09.2024 (Dieser Termin ist bereits vorbei)
07.04.2025 - 11.04.2025 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 25.09.2025 möglich";Deutschland;"Kratzeburg und ggf. andere Orte";"Lohmarer Institut für Weiterbildung e.V.
LIW";"Donrather Str. 44
53797 Lohmar";02246-302999-10;02246-302999-19;mailto:evinfo@lohmarer-institut.com;https://www.liw-ev.de/detailev/?event=44356;"Für interessierte Berliner Arbeitnehmer/innen";;12
100120649;"Permakultur - Was ist das? - Eine Einführung";"Landw. Gartenbau Forsten Umwelt";;2024-11-01;2025-11-25;"25.11.2023 - 25.11.2023 (Dieser Termin ist bereits vorbei)
19.04.2024 - 21.04.2024 (Dieser Termin ist bereits vorbei)
01.11.2024 - 03.11.2024 (Dieser Termin ist bereits vorbei)
07.03.2025 - 09.03.2025 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 25.11.2025 möglich";Deutschland;"Beetzendorf OT Poppau und ggf. andere Orte";"Freundeskreis Ökodorf e.V.";"Sieben Linden 1
38489 Beetzendorf OT Poppau";039000/51236;039000/51232;mailto:bildungsreferat@siebenlinden.org;https://booking.seminardesk.de/de/siebenlinden/ead923195a3e4233aaf44e82bfe8c11a/permakultur---was-ist-das;"Für Berliner Arbeitnehmer/innen, die o.g. Kenntnisse für die berufliche Tätigkeit benötigen";;13
100120658;"Trans-Alpedes I: Folgen des Klimawandels im alpinen Ökosystem - Situation";"Politische Bildung";"Ökologie und Umweltpolitik";2024-07-15;2025-07-17;"17.07.2023 - 21.07.2023 (Dieser Termin ist bereits vorbei)
15.07.2024 - 19.07.2024 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 17.07.2025 möglich";Deutschland;Oberstdorf-Kornau;"Bildungsakademie des Landessportbundes Hessen e.V.";"Otto-Fleck-Schneise 4
60528 Frankfurt";069/67893531;;mailto:sscheu@sport-erlebnisse.de;https://www.sport-erlebnisse.de/index.php?ID=31269;"Für interessierte Berliner Arbeitnehmer/innen";;14
100120714;"Der Mensch und das Meer - die Ostsee: Politische Konflikte und Umweltkrisen in unserem Umfeld";"Politische Bildung";"Ökologie und Umweltpolitik";2023-09-10;2025-09-10;"10.09.2023 - 15.09.2023 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 10.09.2025 möglich";Deutschland;"Altenholz und ggf. andere Orte";"Arbeit und Leben Bielefeld  ";"Ravensberger Park 4
33607 Bielefeld";0521557772-0;0521557772-33;mailto:info@aulbi.de;"www.aulbi.de; www.bildungsurlaub.de";"Für interessierte Berliner Arbeitnehmer/innen";;15
100120787;"Oberstdorf - Naturschutz in einer wertvollen und touristisch genutzten Hochgebirgslandschaft";"Politische Bildung";"Ökologie und Umweltpolitik";2024-10-21;2025-07-31;"31.07.2023 - 04.08.2023 (Dieser Termin ist bereits vorbei)
29.04.2024 - 03.05.2024 (Dieser Termin ist bereits vorbei)
21.10.2024 - 25.10.2024 (Dieser Termin ist bereits vorbei)
27.01.2025 - 31.01.2025 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 31.07.2025 möglich";Deutschland;Oberstdorf;"Lohmarer Institut für Weiterbildung e.V.
LIW";"Donrather Str. 44
53797 Lohmar";02246-302999-10;02246-302999-19;mailto:evinfo@lohmarer-institut.com;https://www.liw-ev.de/detailev/?event=43940;"Für interessierte Berliner Arbeitnehmer/innen";;16
100120812;"Aus dem Vollen schöpfen";"Gesundheit und Ernährung";"Sonstige Themen der Gesundheit";2023-09-11;2025-09-11;"11.09.2023 - 15.09.2023 (Dieser Termin ist bereits vorbei)
18.11.2024 - 22.11.2024 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 11.09.2025 möglich";Deutschland;"List, Sylt und ggf. andere Orte";"Lohmarer Institut für Weiterbildung e.V.
LIW";"Donrather Str. 44
53797 Lohmar";02246-302999-10;02246-302999-19;mailto:evinfo@lohmarer-institut.com;https://www.liw-ev.de/detailev/?event=44225;"Für Berliner Arbeitnehmer/innen, die o.g. Kenntnisse für die berufliche Tätigkeit benötigen";;17
100120832;"Wangerooge: Geschichte und Zukunft einer ostfriesischen Insel";"Politische Bildung";"Ökologie und Umweltpolitik";2024-03-17;2026-03-17;"17.03.2024 - 22.03.2024 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 17.03.2026 möglich";Deutschland;Wangerooge;"AZK Johannes-Albers-Bildungsforum gGmbH";"Johannes-Albers-Allee 3
53639 Königswinter";"02223-730, 02223-73119";02223-73601;mailto:seminare@azk.de;https://www.azk-csp.de/seminars/wangerooge-geschichte-und-zukunft-einer-ostfriesischen-insel-3/;"Für interessierte Berliner Arbeitnehmer/-innen";;18
100120859;"Das Siebengebirge – wertvolle Natur- und Kulturlandschaft zwischen Schutz und Nutzung";"Politische Bildung";"Ökologie und Umweltpolitik";2023-10-23;2025-10-23;"23.10.2023 - 27.10.2023 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 23.10.2025 möglich";Deutschland;"Königswinter und ggf. andere Orte";"Lohmarer Institut für Weiterbildung e.V.
LIW";"Donrather Str. 44
53797 Lohmar";02246-302999-10;02246-302999-19;mailto:evinfo@lohmarer-institut.com;https://www.liw-ev.de/detailev/?event=43888;"Für interessierte Berliner Arbeitnehmer/innen";;19
100120862;"Epona-Intensiv - Weiterbildung in pferdegestützter Persönlichkeitsentwicklung";"Rhetorik und Kommunikation";"Rhetorik, berufl.";2024-03-11;2025-10-23;"23.10.2023 - 27.10.2023 (Dieser Termin ist bereits vorbei)
11.03.2024 - 15.03.2024 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 23.10.2025 möglich";Deutschland;"Bad Salzuflen und ggf. andere Orte";"Lohmarer Institut für Weiterbildung e.V.
LIW";"Donrather Str. 44
53797 Lohmar";02246-302999-10;02246-302999-19;mailto:evinfo@lohmarer-institut.com;;"Für Berliner Arbeitnehmer/innen, die o.g. Kenntnisse für die berufliche Tätigkeit benötigen";;20
100120863;"wingwave Ausbildung";Psychologie;;2023-10-23;2025-10-23;"23.10.2023 - 26.10.2023 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 23.10.2025 möglich";Deutschland;"Berlin und ggf. andere Orte";"CAB Coaching Akademie Berlin GmbH";"Oranienburger Str. 21
10178 Berlin";030/30609790;;mailto:info@coachingakademie-berlin.de;;"Für Berliner Arbeitnehmer/innen, insbesondere Trainer/innen, Coaches, Therapeuten/innen, Heilpraktiker/innen und Ärzte/innen, die o.g. Weiterbildung für die berufliche Tätigkeit benötigen";;21
100120864;"Schärengarten Südnorwegen – sanfter Tourismus an der „Riviera Norwegens“";"Politische Bildung";"Ökologie und Umweltpolitik";2024-08-12;2025-08-14;"14.08.2023 - 18.08.2023 (Dieser Termin ist bereits vorbei)
21.08.2023 - 25.08.2023 (Dieser Termin ist bereits vorbei)
12.08.2024 - 16.08.2024 (Dieser Termin ist bereits vorbei)
19.08.2024 - 23.08.2024 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 14.08.2025 möglich";Norwegen;"Høvåg und ggf. andere Orte";"Lohmarer Institut für Weiterbildung e.V.
LIW";"Donrather Str. 44
53797 Lohmar";02246-302999-10;02246-302999-19;mailto:evinfo@lohmarer-institut.com;https://www.liw-ev.de/detailev/?event=44336;"Für interessierte Berliner Arbeitnehmer/innen";;22
100120894;"CCC Craniosakrale Osteopathie";"Gesundheit und Ernährung";"Berufe Gesundheit und Ernährung";2023-09-13;2025-09-13;"13.09.2023 - 16.09.2023 (Dieser Termin ist bereits vorbei)
19.02.2025 - 22.02.2025 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 13.09.2025 möglich";Deutschland;"Berlin und ggf. andere Orte";"curakurse
Stollenwerk/Goerke GbR";"Anklamer Str. 38
10115 Berlin";03044317135;;mailto:anmeldung@curakurse.de;;"Für Berliner Heilpraktiker/innen, Ärzte/innen und Physiotherapeuten/innen, die o.g. Kenntnisse für die berufliche Tätigkeit benötigen";;23
100121009;"Stress abbauen - Energien aufbauen in Südtirol";"Gesundheit und Ernährung";"Entspannung und Körpererfahrung";2024-09-23;2025-09-25;"25.09.2023 - 29.09.2023 (Dieser Termin ist bereits vorbei)
23.09.2024 - 27.09.2024 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 25.09.2025 möglich";Italien;"Sulden und ggf. andere Orte";"Bildungsakademie des Landessportbundes Hessen e.V.";"Otto-Fleck-Schneise 4
60528 Frankfurt";069/67893531;;mailto:sscheu@sport-erlebnisse.de;https://www.sport-erlebnisse.de/index.php?ID=31262;"Für Berliner Arbeitnehmer/innen, die o.g. Kenntnisse für die berufliche Tätigkeit benötigen";;24
100121045;Coaching-Intensiv-Training;"Rhetorik und Kommunikation";"Rhetorik, berufl.";2024-10-07;2025-07-31;"31.07.2023 - 04.08.2023 (Dieser Termin ist bereits vorbei)
07.10.2024 - 11.10.2024 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 31.07.2025 möglich";Deutschland;"Einbeck und ggf. andere Orte";"Lohmarer Institut für Weiterbildung e.V.
LIW";"Donrather Str. 44
53797 Lohmar";02246-302999-10;02246-302999-19;mailto:evinfo@lohmarer-institut.com;https://www.liw-ev.de/detailev/?event=44143;"Für Berliner Arbeitnehmer/innen, die o.g. Kenntnisse für die berufliche Tätigkeit benötigen";;25
100121049;"Berlin. Die Fahrradstadt Berlin - Mobilität in der fahrradfreundlichen Metropole.";"Politische Bildung";"Ökologie und Umweltpolitik";2024-09-02;2025-07-17;"17.07.2023 - 21.07.2023 (Dieser Termin ist bereits vorbei)
04.09.2023 - 08.09.2023 (Dieser Termin ist bereits vorbei)
13.05.2024 - 17.05.2024 (Dieser Termin ist bereits vorbei)
10.06.2024 - 16.06.2024 (Dieser Termin ist bereits vorbei)
02.09.2024 - 06.09.2024 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 17.07.2025 möglich";Deutschland;Berlin;"Forum Unna";"Friedrich-Ebert-Str. 58
59425 Unna";0230322441;0230323694;mailto:info@forum-unna.de;www.forum-unna.de;"Für interessierte Berliner Arbeitnehmer/innen";;26
100121050;"Berlin. Die grüne Hauptstadt.";"Politische Bildung";"Ökologie und Umweltpolitik";2024-08-12;2025-08-14;"14.08.2023 - 18.08.2023 (Dieser Termin ist bereits vorbei)
24.06.2024 - 28.06.2024 (Dieser Termin ist bereits vorbei)
12.08.2024 - 16.08.2024 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 14.08.2025 möglich";Deutschland;Berlin;"Forum Unna";"Friedrich-Ebert-Str. 58
59425 Unna";0230322441;0230323694;mailto:info@forum-unna.de;www.forum-unna.de;"Für interessierte Berliner Arbeitnehmer/innen";;27
100121058;"Dein Weg zu dir und anderen – das Enneagramm für Fortgeschrittene";"Rhetorik und Kommunikation";"Rhetorik, berufl.";2023-11-27;2025-11-27;"27.11.2023 - 01.12.2023 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 27.11.2025 möglich";Deutschland;Baltrum;"Lohmarer Institut für Weiterbildung e.V.
LIW";"Donrather Str. 44
53797 Lohmar";02246-302999-10;02246-302999-19;mailto:evinfo@lohmarer-institut.com;https://www.liw-ev.de/detailev/?event=44145;"Für Berliner Arbeitnehmer*innen, die die vermittelten Kompetenzen für ihre berufliche Tätigkeit benötigen";;28
100121083;"Spanisch lernen ganz anders! Spanische Woche PDL Sprache und Landeskunde für Anfänger mit Vorkenntnissen und Fortgeschrittene - A2 bis B2";"Sprachen für den Beruf";Spanisch;2023-10-23;2025-10-23;"23.10.2023 - 27.10.2023 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 23.10.2025 möglich";Deutschland;Darmstadt;"Resonanz Vincent & Zammit GbR";"Wiener Str. 2
53332  Bornheim";"02227 8198692";;mailto:info@resonanz-institut.de;https://resonanz-institut.de/lernen/bildungsurlaub-spanisch-lernen-2/;"Für Berliner Arbeitnehmer/innen, die o.g. Fremdsprachenkenntnisse für die berufliche Tätigkeit benötigen";;29
100121095;"Lehmbau Praxis 3-tägiger Einführungskurs in gebräuchliche Lehmbautechniken";"Gewerblich-Technischer Bereich";Bauwesen;2023-08-21;2025-08-21;"21.08.2023 - 23.08.2023 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 21.08.2025 möglich";Deutschland;"Ganzlin OT Wangelin und ggf. andere Orte";"Europäische Bildungsstätte für Lehmbau Wangelin gGmbH";"Dorfstraße 27
19395 Ganzlin OT Wangelin";"038737 337990";;mailto:anfrage@lernpunktlehm.de;https://www.lernpunktlehm.de/de/events/lehmbaupraxis-klassische-techniken;"Für Berliner Arbeitnehmer/innen, die o.g. Kenntnisse für die berufliche Tätigkeit benötigen";;30
100121103;"Bildungsreise nach Israel";"Politische Bildung";"Politische Bildungsfahrten";2023-10-09;2025-10-09;"09.10.2023 - 13.10.2023 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 09.10.2025 möglich";Deutschland;Berlin;"Lebenshilfe Bildung gGmbH";"Böttgerstr. 21
13357 Berlin";"030 82 99 98 1482";"030 82 99 98 9952";mailto:bildung@lebenshilfe-berlin.de;https://www.lebenshilfe-berlin.de/bildung/fortbildungstermine/termine/Bildungsreise-nach-Israel.php;"Für Berliner Arbeitnehmer/innen, die o.g. Kenntnisse für die berufliche Tätigkeit benötigen und andere Interessierte";;31
100121132;"Weltnaturerbe Dolomiten - Herausforderung für Mensch und Natur";"Politische Bildung";"Ökologie und Umweltpolitik";2024-07-01;2025-09-04;"04.09.2023 - 08.09.2023 (Dieser Termin ist bereits vorbei)
01.07.2024 - 05.07.2024 (Dieser Termin ist bereits vorbei)
09.09.2024 - 13.09.2024 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 04.09.2025 möglich";Italien;Deutschnofen;"Lohmarer Institut für Weiterbildung e.V.
LIW";"Donrather Str. 44
53797 Lohmar";02246-302999-10;02246-302999-19;mailto:evinfo@lohmarer-institut.com;https://www.liw-ev.de/detailev/?event=44310;"Für interessierte Berliner Arbeitnehmer/innen";;32
100121135;"Dresden. Eine Stadt zwischen gestern und morgen.";"Politische Bildung";"Politische Bildungsfahrten";2023-11-06;2025-08-28;"28.08.2023 - 01.09.2023 (Dieser Termin ist bereits vorbei)
06.11.2023 - 10.11.2023 (Dieser Termin ist bereits vorbei)
17.03.2024 - 22.03.2024 (Dieser Termin ist bereits vorbei)
24.11.2024 - 29.11.2024 (Dieser Termin ist bereits vorbei)
08.12.2024 - 13.12.2024 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 28.08.2025 möglich";Deutschland;"Dresden und ggf. andere Orte";"Forum Unna";"Friedrich-Ebert-Str. 58
59425 Unna";0230322441;0230323694;mailto:info@forum-unna.de;www.forum-unna.de;"Für interessierte Berliner Arbeitnehmer/innen";;33
100121136;"Thorn. Vom Deutschen Orden zum Dritten Reich - Geschichte der Heimatstadt des Nikolaus Kopernikus.";"Politische Bildung";Geschichte;2024-10-06;2025-08-28;"28.08.2023 - 01.09.2023 (Dieser Termin ist bereits vorbei)
25.08.2024 - 30.08.2024 (Dieser Termin ist bereits vorbei)
06.10.2024 - 11.10.2024 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 28.08.2025 möglich";Polen;"Torun und ggf. andere Orte";"Forum Unna";"Friedrich-Ebert-Str. 58
59425 Unna";0230322441;0230323694;mailto:info@forum-unna.de;www.forum-unna.de;"Für interessierte Berliner Arbeitnehmer/innen";;34
100121137;"Ahrtal. Kultivierung, Naturschutz, Flutkatastrophe und Tourismus - Probleme einer Landschaft mit einer über 2000-jährigen Kultur-Geschichte.";"Politische Bildung";"Politische Bildungsfahrten";2023-08-07;2025-08-07;"07.08.2023 - 11.08.2023 (Dieser Termin ist bereits vorbei)
27.08.2023 - 01.09.2023 (Dieser Termin ist bereits vorbei)
09.06.2024 - 14.06.2024 (Dieser Termin ist bereits vorbei)
18.08.2024 - 23.08.2024 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 07.08.2025 möglich";Deutschland;"Bad Neuenahr-Ahrweiler und ggf. andere Orte";"Forum Unna";"Friedrich-Ebert-Str. 58
59425 Unna";0230322441;0230323694;mailto:info@forum-unna.de;www.forum-unna.de;"Für interessierte Berliner Arbeitnehmer/innen";;35
100121147;"Weimar. Von der Provinzstadt zur Weltstadt - Eine Stadt im Wandel der Zeiten.";"Politische Bildung";Deutschlandpolitik;2024-08-11;2025-08-14;"14.08.2023 - 18.08.2023 (Dieser Termin ist bereits vorbei)
21.04.2024 - 26.04.2024 (Dieser Termin ist bereits vorbei)
23.06.2024 - 28.06.2024 (Dieser Termin ist bereits vorbei)
11.08.2024 - 16.08.2024 (Dieser Termin ist bereits vorbei)
18.08.2024 - 23.08.2024 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 14.08.2025 möglich";Deutschland;"Weimar und ggf. andere Orte";"Forum Unna";"Friedrich-Ebert-Str. 58
59425 Unna";0230322441;0230323694;mailto:info@forum-unna.de;www.forum-unna.de;"Für interessierte Berliner Arbeitnehmer/innen";;36
100121148;"Harz. Nationalpark Harz im Spannungsfeld zwischen Naturschutz, Weltkulturerbe und Tourismus.";"Politische Bildung";"Ökologie und Umweltpolitik";2024-06-02;2025-08-14;"14.08.2023 - 18.08.2023 (Dieser Termin ist bereits vorbei)
02.06.2024 - 07.06.2024 (Dieser Termin ist bereits vorbei)
11.08.2024 - 16.08.2024 (Dieser Termin ist bereits vorbei)
weitere Termine zu dieser Veranstaltung sind noch bis 14.08.2025 möglich";Deutschland;"St. Andreasberg und ggf. andere Orte";"Forum Unna";"Friedrich-Ebert-Str. 58
59425 Unna";0230322441;0230323694;mailto:info@forum-unna.de;www.forum-unna.de;"Für interessierte Berliner Arbeitnehmer/innen";;37
